codigomuestra,parcela,usuariohab,fechacreacionhab,fechaenviohab,idodkhabitat,horainicio,horafinal,longitud,latitud,elevacion,precisioncoords,localidad,distanciaabasura,distanciaagua,distanciavias,actividadpersonas,actividadcebo1,actividadcebo2,actividadcebo3,actividadcebo4,fechacolecta,otroscolectores,observaciones,plantas,idparentalcolec,siglascolectores,idparentaltiposdecebo,tiposdecebo,idparentalcebosbajo,cebosbajo,idparentalcebossobre,cebossobre,idparentalcebosotrosele,cebosotrosele
H20191012m7,p88,uid:jorge-mutonen|2019-08-27T17:32:44.138229Z,2019-10-15 15:42:23.96,2019-10-15 15:42:23.957,uuid:c479fa66-dc2c-464a-9909-4583d94a5d64,11.06 am,12.06 pm,-69.9193676100,18.4616850100,-1.0000000000,15.1700000763,Frente ciencias económicas y sociales,10omas,0,1a5,10omas,0,10omas,1a5,1a5,2019-10-12 00:00:00,NULL,NULL,NULL,uuid:c479fa66-dc2c-464a-9909-4583d94a5d64,jdmp,uuid:c479fa66-dc2c-464a-9909-4583d94a5d64,"atun_tuna,aceite",uuid:c479fa66-dc2c-464a-9909-4583d94a5d64,dosel,uuid:c479fa66-dc2c-464a-9909-4583d94a5d64,hierba,uuid:c479fa66-dc2c-464a-9909-4583d94a5d64,no_aplica
20190927M01,p182,uid:emdilone|2019-08-29T15:45:41.211906Z,2019-09-27 22:25:36.466,2019-09-27 22:25:36.459,uuid:d2dd26fb-0b6a-4cd9-a37d-61bb2ea7d806,4.47 pm,6.15 pm,-69.9179312800,18.4587346900,-18.8300476074,3.2160000801,NU,10omas,0,1a5,0,10omas,6a9,10omas,10omas,2019-09-27 00:00:00,NULL,NULL,NULL,uuid:d2dd26fb-0b6a-4cd9-a37d-61bb2ea7d806,emdr,uuid:d2dd26fb-0b6a-4cd9-a37d-61bb2ea7d806,atun_tuna,uuid:d2dd26fb-0b6a-4cd9-a37d-61bb2ea7d806,despejado,uuid:d2dd26fb-0b6a-4cd9-a37d-61bb2ea7d806,hierba,uuid:d2dd26fb-0b6a-4cd9-a37d-61bb2ea7d806,"hojarasca,basura_restos_comida"
H20191012m6,p6,uid:mangoland|2019-08-27T17:32:44.139596Z,2019-10-12 21:42:47.349,2019-10-12 21:42:47.343,uuid:1a0d1353-4f3d-42ba-8d06-65e62727a0a6,4.50 pm,5.42 pm,-69.9142196300,18.4633621200,-29.0000000000,4.5509996414,Play softball puerta central,6a9,0,6a9,1a5,10omas,10omas,6a9,10omas,2019-10-12 00:00:00,NULL,Cesped recortado.,"Otras herbaceas que no es el pasto o cesped regular. Cesped recien recortado, pero queda en la base casi completo.",uuid:1a0d1353-4f3d-42ba-8d06-65e62727a0a6,"jdmp,mlt",uuid:1a0d1353-4f3d-42ba-8d06-65e62727a0a6,"atun_tuna,aceite",uuid:1a0d1353-4f3d-42ba-8d06-65e62727a0a6,despejado,uuid:1a0d1353-4f3d-42ba-8d06-65e62727a0a6,hierba,uuid:1a0d1353-4f3d-42ba-8d06-65e62727a0a6,no_aplica
20191014M06,p171,uid:emdilone|2019-08-29T15:45:41.211906Z,2019-10-15 16:19:59.81,2019-10-15 16:19:59.804,uuid:50ce493e-b74c-46d0-b383-afc8039d0661,2.03 pm,3.04 pm,-69.9194123400,18.4592839900,-18.6879577637,3.2160000801,Aula magna,1a5,0,1a5,0,10omas,10omas,10omas,10omas,2019-10-14 00:00:00,NULL,5 personas sentadas cerca,"Framboyan, pino, palma",uuid:50ce493e-b74c-46d0-b383-afc8039d0661,emdr,uuid:50ce493e-b74c-46d0-b383-afc8039d0661,atun_tuna,uuid:50ce493e-b74c-46d0-b383-afc8039d0661,despejado,uuid:50ce493e-b74c-46d0-b383-afc8039d0661,hierba,uuid:50ce493e-b74c-46d0-b383-afc8039d0661,hojarasca
20191025M10,p33,uid:emdilone|2019-08-29T15:45:41.211906Z,2019-10-31 17:06:55.532,2019-10-31 17:06:55.523,uuid:7ed5bd55-9c29-49e6-ba6d-3228afcf5c16,11.43 am,12.51 pm,-69.9173141200,18.4632324400,-15.7388916016,3.2160000801,Frente al comedor,10omas,0,1a5,0,10omas,10omas,10omas,10omas,2019-10-25 00:00:00,NULL,1 cebo sin hormigas,NULL,uuid:7ed5bd55-9c29-49e6-ba6d-3228afcf5c16,emdr,uuid:7ed5bd55-9c29-49e6-ba6d-3228afcf5c16,atun_tuna,uuid:7ed5bd55-9c29-49e6-ba6d-3228afcf5c16,dosel,uuid:7ed5bd55-9c29-49e6-ba6d-3228afcf5c16,"suelo_tierra,hierba",uuid:7ed5bd55-9c29-49e6-ba6d-3228afcf5c16,"hojarasca,ramas_troncos"
20190928B3,p169,uid:bidelkiscastillo|2019-08-27T17:29:46.697501Z,2019-09-30 14:46:12.59,2019-09-30 14:46:12.587,uuid:e79c2058-523a-4d92-930d-369a7b785273,12.15 pm,1.00 pm,-69.9204433333,18.4590866667,21.3000000000,2.0000000000,Entrada del parqueo grande de la uasd,6a9,0,1a5,0,0,1a5,1a5,0,2019-09-28 00:00:00,NULL,"Llovio la noche anterior, hay pocas hormigas",Palma,uuid:e79c2058-523a-4d92-930d-369a7b785273,bacs,uuid:e79c2058-523a-4d92-930d-369a7b785273,atun_tuna,uuid:e79c2058-523a-4d92-930d-369a7b785273,despejado,uuid:e79c2058-523a-4d92-930d-369a7b785273,cemento_pavimento,uuid:e79c2058-523a-4d92-930d-369a7b785273,basura_restos_comida
H20191013m8,p8,uid:mangoland|2019-08-27T17:32:44.139596Z,2019-10-17 23:20:55.06,2019-10-17 23:20:55.054,uuid:1819a611-a5a3-4a97-863a-42e525941ce7,9.20 am,9.56 am,-69.9151762200,18.4645668800,-14.0000000000,4.5509996414,Detras Deportes (Quadrat #8),1a5,0,1a5,1a5,0,0,1a5,1a5,2019-10-13 00:00:00,NULL,NULL,Fila de Grigri al borde acera calle,uuid:1819a611-a5a3-4a97-863a-42e525941ce7,"mlt,jdmp",uuid:1819a611-a5a3-4a97-863a-42e525941ce7,"atun_tuna,aceite",uuid:1819a611-a5a3-4a97-863a-42e525941ce7,despejado,uuid:1819a611-a5a3-4a97-863a-42e525941ce7,cemento_pavimento,uuid:1819a611-a5a3-4a97-863a-42e525941ce7,hojarasca
20191024M08,p134,uid:emdilone|2019-08-29T15:45:41.211906Z,2019-10-31 17:06:53.385,2019-10-31 17:06:53.379,uuid:8c39c9f3-abdb-4d09-beac-c328133d4ad2,11.24 am,12.51 pm,-69.9162449700,18.4604064000,-17.9768066406,3.2160000801,Frente a parqueos registro,10omas,0,1a5,0,10omas,10omas,10omas,10omas,2019-10-24 00:00:00,NULL,15 personas cruzaron por el cebo,Palma,uuid:8c39c9f3-abdb-4d09-beac-c328133d4ad2,emdr,uuid:8c39c9f3-abdb-4d09-beac-c328133d4ad2,atun_tuna,uuid:8c39c9f3-abdb-4d09-beac-c328133d4ad2,dosel,uuid:8c39c9f3-abdb-4d09-beac-c328133d4ad2,"hierba,suelo_tierra",uuid:8c39c9f3-abdb-4d09-beac-c328133d4ad2,hojarasca
20190928B4,p122,uid:bidelkiscastillo|2019-08-27T17:29:46.697501Z,2019-09-30 14:46:14.899,2019-09-30 14:46:14.892,uuid:289f1c57-1f65-4d36-9964-234789c7fecd,2.30 pm,3.40 pm,-69.9219083333,18.4604450000,26.9000000000,1.7999999523,Area verde del parqueo de la Torre Administrativ,10omas,0,1a5,0,6a9,10omas,10omas,10omas,2019-09-28 00:00:00,NULL,NULL,Frambollan,uuid:289f1c57-1f65-4d36-9964-234789c7fecd,bacs,uuid:289f1c57-1f65-4d36-9964-234789c7fecd,atun_tuna,uuid:289f1c57-1f65-4d36-9964-234789c7fecd,despejado,uuid:289f1c57-1f65-4d36-9964-234789c7fecd,hierba,uuid:289f1c57-1f65-4d36-9964-234789c7fecd,"hojarasca,rocas,ramas_troncos"
H20190827m1,p3,uid:jimenezsosa|2019-08-27T17:32:44.136781Z,2019-09-10 19:15:00.32,2019-09-10 19:15:00.315,uuid:c559b0bd-7987-4b3e-9676-3b7225483807,8.43 am,8.43 am,-69.9166777100,18.4596988100,-6.0000000000,29.0000000000,FA Ciencias,0,1a5,0,1a5,no_aplica,1a5,10omas,no_aplica,2019-09-10 00:00:00,NULL,NULL,NULL,uuid:c559b0bd-7987-4b3e-9676-3b7225483807,lajs,uuid:c559b0bd-7987-4b3e-9676-3b7225483807,atun_tuna,uuid:c559b0bd-7987-4b3e-9676-3b7225483807,"no_aplica,despejado",uuid:c559b0bd-7987-4b3e-9676-3b7225483807,cemento_pavimento,uuid:c559b0bd-7987-4b3e-9676-3b7225483807,no_aplica
