codigomuestra,parcela,usuarionid,fechacreacionnid,fechaenvionid,idodknidos,horainicio,longitud,latitud,elevacion,precisioncoords,localidad,distanciaabasura,distanciaagua,distanciavias,fechacolecta,otroscolectores,observaciones,plantas,idparentalcolec,siglascolectores
p10m1,p10,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-18T15:57:09Z,2019-09-18T15:57:09Z,uuid:37a049b5-1be9-4fc0-995b-e5d241464aa3,11.25 am,-69.9135403,18.4633491,0,87.3779983521,Área del play,10omas,0,1a5,2019-09-18T00:00:00Z,NULL,NULL,NULL,uuid:37a049b5-1be9-4fc0-995b-e5d241464aa3,"eagv,dgb"
P10M2,p10,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-18T15:57:10Z,2019-09-18T15:57:10Z,uuid:3e14995d-c44e-4a5d-8170-2613cdd81ee3,11.35 am,-69.9136633,18.463585,0,193.5,Área del play,1a5,0,1a5,2019-09-18T00:00:00Z,NULL,NULL,NULL,uuid:3e14995d-c44e-4a5d-8170-2613cdd81ee3,"dgb,eagv"
P10M3,p10,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-18T15:57:10Z,2019-09-18T15:57:10Z,uuid:c88fa162-7596-44e5-99d9-5223ab534485,11.40 am,-69.9135614,18.4634018,0,42,Área del play,1a5,6a9,1a5,2019-09-18T00:00:00Z,NULL,NULL,NULL,uuid:c88fa162-7596-44e5-99d9-5223ab534485,"dgb,eagv"
P147M1,p147,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-26T21:15:10Z,2019-09-26T21:15:10Z,uuid:6927629f-47c8-45d2-93bd-1f85015514c8,4.00 pm,-69.9185046181,18.4604956327,0,0,NULL,no_aplica,0,1a5,2019-09-26T00:00:00Z,NULL,NULL,NULL,uuid:6927629f-47c8-45d2-93bd-1f85015514c8,"dgb,eagv"
P147M2,p147,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-26T21:15:10Z,2019-09-26T21:15:10Z,uuid:47b14565-78ae-4430-b522-f93172a765a1,3.40 pm,-69.9185277522,18.4604714629,0,0,NULL,1a5,0,1a5,2019-09-26T00:00:00Z,NULL,NULL,NULL,uuid:47b14565-78ae-4430-b522-f93172a765a1,"dgb,eagv"
P148M1,p148,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-26T21:15:09Z,2019-09-26T21:15:09Z,uuid:4229452e-ee03-4d83-9862-57ad81211a13,3.23 pm,-69.9180201441,18.4597851666,0,0,Parque de la biblioteca,1a5,0,1a5,2019-09-26T00:00:00Z,NULL,NULL,Árbol de Nin,uuid:4229452e-ee03-4d83-9862-57ad81211a13,"eagv,dgb"
P163M1,p163,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-26T21:15:09Z,2019-09-26T21:15:09Z,uuid:224a1b37-5bf1-4fbf-b0f5-82f5a465ba5e,2.29 pm,-69.9176476,18.4587693,0,78.9049987793,Calle próximo a la facultad de ciencias,6a9,0,1a5,2019-09-26T00:00:00Z,NULL,NULL,Árbol de Nin,uuid:224a1b37-5bf1-4fbf-b0f5-82f5a465ba5e,"dgb,eagv"
P163M2,p163,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-26T21:15:09Z,2019-09-26T21:15:09Z,uuid:125edd4f-7b7e-4c1f-9f8a-e881834b4b68,2.54 pm,-69.9178907275,18.4593917694,0,0,Calle frente a Banreservas del economato,6a9,0,1a5,2019-09-26T00:00:00Z,NULL,NULL,NULL,uuid:125edd4f-7b7e-4c1f-9f8a-e881834b4b68,"dgb,eagv"
p1m1,p1,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-12T14:13:19Z,2019-09-12T14:13:19Z,uuid:c9a4d848-ee83-44d2-a91f-88bbfdc8a749,10.07 am,-69.8201186,18.5131405,0,40.5,Área del play,1a5,6a9,6a9,2019-09-14T00:00:00Z,NULL,Formulario de ejemplo,Palma real,uuid:c9a4d848-ee83-44d2-a91f-88bbfdc8a749,eagv
p1m1,p1,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-17T01:23:37Z,2019-09-17T01:23:37Z,uuid:99349817-83d2-48e4-b10b-22618fabe91b,10.57 am,-69.9149983,18.4649742,0,61.5,Salón de kárate,1a5,0,1a5,2019-09-15T00:00:00Z,NULL,NULL,Helechos,uuid:99349817-83d2-48e4-b10b-22618fabe91b,eagv
p1m2,p1,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-17T01:23:37Z,2019-09-17T01:23:37Z,uuid:97dc8d29-2377-452e-9d6b-b2511798566d,11.16 am,-69.9157698,18.464954,0,44.1739997864,Cerca de una pared,0,0,1a5,2019-09-15T00:00:00Z,NULL,NULL,Palmas,uuid:97dc8d29-2377-452e-9d6b-b2511798566d,eagv
P1m3,p1,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-17T01:23:39Z,2019-09-17T01:23:39Z,uuid:0b77bc0c-b77f-4937-962b-67ba37721453,11.31 am,-69.9156007,18.464904,0,40.5,Estacionamientos del Tony Barreiro,6a9,0,6a9,2019-09-15T00:00:00Z,NULL,NULL,NULL,uuid:0b77bc0c-b77f-4937-962b-67ba37721453,eagv
P25M1,p25,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-18T16:26:21Z,2019-09-18T16:26:21Z,uuid:5da99b33-91c6-4011-b404-da09cc194233,12.10 pm,-69.915350005,18.4635384551,0,0,Área del play,10omas,0,10omas,2019-09-18T00:00:00Z,NULL,NULL,Hierbas,uuid:5da99b33-91c6-4011-b404-da09cc194233,"dgb,eagv"
P25M3,p25,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-18T16:26:21Z,2019-09-18T16:26:21Z,uuid:cb1cf13b-5c4e-4069-8263-24673c61d344,12.25 pm,-69.9152521044,18.4635130137,0,0,Área play,0,0,1a5,2019-09-18T00:00:00Z,NULL,NULL,Hierbas,uuid:cb1cf13b-5c4e-4069-8263-24673c61d344,"dgb,eagv"
P27m1,p27,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-18T15:57:11Z,2019-09-18T15:57:11Z,uuid:2db24de0-be4f-44f3-b3b4-ad90ccc3e371,11.45 am,-69.91439078,18.4638291232,0,0,NULL,1a5,0,0,2019-09-18T00:00:00Z,NULL,NULL,Hierbas,uuid:2db24de0-be4f-44f3-b3b4-ad90ccc3e371,"dgb,eagv"
P27m2,p27,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-18T15:57:12Z,2019-09-18T15:57:12Z,uuid:10f22108-356b-4b1a-9709-03ca0950b48f,11.59 am,-69.9149627611,18.4637381702,0,0,Área del play,0,0,6a9,2019-09-18T00:00:00Z,NULL,NULL,Cycas circinalis,uuid:10f22108-356b-4b1a-9709-03ca0950b48f,"dgb,eagv"
P42M1,p42,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-26T21:15:12Z,2019-09-26T21:15:12Z,uuid:73cef216-6e58-421c-be25-020b81c26af4,5.02 pm,-69.9190772697,18.4628429485,0,0,Parque de arte,1a5,0,1a5,2019-09-26T00:00:00Z,NULL,NULL,Hierba,uuid:73cef216-6e58-421c-be25-020b81c26af4,"eagv,dgb"
P42M2,p42,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-26T21:15:12Z,2019-09-26T21:15:12Z,uuid:2b809de4-0b49-46c7-a180-28f7fddfe0b3,5.17 pm,-69.9196194112,18.462867436,0,0,Helsderia bom,1a5,0,1a5,2019-09-26T00:00:00Z,NULL,NULL,NULL,uuid:2b809de4-0b49-46c7-a180-28f7fddfe0b3,"dgb,eagv"
P70M1,p70,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-26T21:15:11Z,2019-09-26T21:15:11Z,uuid:71e3c926-0c03-4291-9a93-5660037cfce7,4.21 pm,-69.9195921,18.4616678,0,45,Calle frente al edificio de economía,6a9,0,1a5,2019-09-26T00:00:00Z,NULL,NULL,NULL,uuid:71e3c926-0c03-4291-9a93-5660037cfce7,"dgb,eagv"
P70M2,p70,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-26T21:15:11Z,2019-09-26T21:15:11Z,uuid:2f71d275-4bcf-487c-8323-bb9fa7cc91e2,4.31 pm,-69.9193609133,18.4619788881,0,0,NULL,6a9,0,1a5,2019-09-26T00:00:00Z,NULL,NULL,Palma real,uuid:2f71d275-4bcf-487c-8323-bb9fa7cc91e2,"dgb,eagv"
P70M3,p70,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-26T21:15:11Z,2019-09-26T21:15:11Z,uuid:6af3767d-b39e-4d2f-a8ab-5a025fdc422d,4.46 pm,-69.9192881584,18.461886344,0,0,Jardín en la calle frente al edificio de economía,6a9,no_aplica,1a5,2019-09-26T00:00:00Z,NULL,NULL,Palmas,NULL,NULL
P78m1,p78,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-18T15:57:09Z,2019-09-18T15:57:09Z,uuid:0253470d-d5b4-4686-96e9-d569890747fa,10.33 am,-69.915866,18.4612369,0,80,Área de medicina,0,0,1a5,2019-09-18T00:00:00Z,NULL,Localizado en el tronco de un árbol,Flamboyan,uuid:0253470d-d5b4-4686-96e9-d569890747fa,"eagv,dgb"
