codigomuestra,parcela,usuarionid,fechacreacionnid,fechaenvionid,idodknidos,horainicio,longitud,latitud,elevacion,precisioncoords,localidad,distanciaabasura,distanciaagua,distanciavias,fechacolecta,otroscolectores,observaciones,plantas,idparentalcolec,siglascolectores
20190928K1,p146,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-09-30T17:14:22Z,2019-09-30T17:14:22Z,uuid:da95c62d-7bf9-4dbf-863f-3f301b308755,11.24 am,-69.9197613169,18.4611429507,-17,2.5,Economia,10omas,1a5,1a5,2019-09-28T00:00:00Z,NULL,NULL,Palma,uuid:da95c62d-7bf9-4dbf-863f-3f301b308755,kmfg
20190928K2,p157,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-09-30T17:14:40Z,2019-09-30T17:14:40Z,uuid:8deba8ed-5afd-4769-a46f-49c2336c5e27,3.00 pm,-69.9209216237,18.4597488306,-6,3.5,Parqueo de la torre administrativa por la puerta,10omas,1a5,6a9,2019-09-28T00:00:00Z,Bidelkis,NULL,Palma,uuid:8deba8ed-5afd-4769-a46f-49c2336c5e27,"kmfg,otras"
20190928K3,p143,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-09-30T17:14:58Z,2019-09-30T17:14:58Z,uuid:a4850976-70bc-4052-a457-d83df9b54f83,4.45 pm,-69.9202723615,18.4603853943,2,9.5,NULL,10omas,0,1a5,2019-09-28T00:00:00Z,NULL,NULL,Frambollan,uuid:a4850976-70bc-4052-a457-d83df9b54f83,kmfg
20191012k4,p66,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-13T03:50:19Z,2019-10-13T03:50:19Z,uuid:9251b30f-ef82-417e-b796-b9f4e10d9d81,12.32 pm,-69.9141315278,18.4623827599,-22,2,Cancha de futbol,10omas,0,1a5,2019-10-12T00:00:00Z,NULL,Tres nidos,No sé,uuid:9251b30f-ef82-417e-b796-b9f4e10d9d81,kmfg
20191012K5,p179,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-13T03:50:32Z,2019-10-13T03:50:32Z,uuid:bbb5e17d-5f82-4a91-ad47-149ef7dc68e2,3.50 pm,-69.9193868972,18.4586417908,-26,4,Transportacion,10omas,1a5,10omas,2019-10-12T00:00:00Z,NULL,Hoyo septico descubierto,Mango,uuid:bbb5e17d-5f82-4a91-ad47-149ef7dc68e2,kmfg
20191012k6,p168,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-13T03:50:47Z,2019-10-13T03:50:47Z,uuid:875b3d06-649b-44ba-b5a5-5ee2be21f577,4.10 pm,-69.92070009,18.4591774782,-26,6,Parqueo uasd,6a9,0,1a5,2019-10-12T00:00:00Z,NULL,NULL,Frambollan,uuid:875b3d06-649b-44ba-b5a5-5ee2be21f577,kmfg
20191013k7,p160,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-14T15:30:35Z,2019-10-14T15:30:35Z,uuid:b6b8b571-dd6a-40ec-9c33-335201a4cdd9,4.40 pm,-69.9194372725,18.4596921271,-24,2.5,Aula Magna,1a5,0,1a5,2019-10-13T00:00:00Z,NULL,Nada,"Palma, coralillo",uuid:b6b8b571-dd6a-40ec-9c33-335201a4cdd9,kmfg
20191013K8,p131,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-14T15:30:36Z,2019-10-14T15:30:36Z,uuid:0343f344-b394-462a-9a73-cba34be66fab,6.03 pm,-69.9176745582,18.460433674,-20,2,Parqueo economato,1a5,0,1a5,2019-10-13T00:00:00Z,NULL,Volver se puso oscuro,"Palma, coralillo",uuid:0343f344-b394-462a-9a73-cba34be66fab,kmfg
20191014k9,p78,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-15T00:41:49Z,2019-10-15T00:41:49Z,uuid:a305c30f-98c3-4ad2-b8cc-0eb2d086661b,2.37 pm,-69.9156901427,18.4617381496,-24,3,Facutad de Ingeniería,1a5,0,1a5,2019-10-14T00:00:00Z,NULL,Ninguna,"Framboyán, caoba, otros",uuid:a305c30f-98c3-4ad2-b8cc-0eb2d086661b,kmfg
20191026k11,p27,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T13:58:29Z,2019-10-31T13:58:28Z,uuid:65837af3-5768-4370-aef8-0a3ec9723bc2,5.15 pm,-69.914088361,18.4641249804,-16,2.5,Area del play,1a5,0,1a5,2019-10-26T00:00:00Z,NULL,"Muchos nidos sin nada, varios nidos en el mismo pote",Mango,uuid:65837af3-5768-4370-aef8-0a3ec9723bc2,kmfg
20191410k10,p25,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-15T00:42:06Z,2019-10-15T00:42:06Z,uuid:1d5a55db-c514-4cd6-a9e1-9b0bfae15cc4,4.35 pm,-69.9155818485,18.463316462,-20,5,Area del play,0,0,1a5,2019-10-14T00:00:00Z,NULL,"Volver, se puso oscuro.",Palmas,uuid:1d5a55db-c514-4cd6-a9e1-9b0bfae15cc4,kmfg
m1p1,p25,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-09-10T19:16:34Z,2019-09-10T19:16:34Z,uuid:279de330-298f-4054-94fa-43b255779a1c,8.30 am,-69.9167098012,18.4597361321,-18,9,UASD,10omas,10omas,10omas,2019-09-10T00:00:00Z,NULL,Probando,Na,uuid:279de330-298f-4054-94fa-43b255779a1c,kmfg
