codigomuestra,parcela,usuarioident,fechacreacionident,fechaenvioident,idodkident,fechaidentificacion,identificadores,otrosidentificadores,idparentalidentificaciones,identificaciones
PN151M1,p151,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-17T21:24:17Z,2019-10-17T21:24:17Z,uuid:7de5905f-bb29-4467-bdc2-a464d5ca04e2,2019-10-17,eagv,NULL,uuid:7de5905f-bb29-4467-bdc2-a464d5ca04e2,paratrechinasp
PN151M2,p155,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-17T21:24:18Z,2019-10-17T21:24:18Z,uuid:073ea94d-4812-485c-b346-842e80f1f106,2019-10-17,eagv,NULL,uuid:073ea94d-4812-485c-b346-842e80f1f106,paratrechinasp
PN166M1,p166,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-17T21:24:18Z,2019-10-17T21:24:18Z,uuid:4d6de643-e0ab-406a-b6d7-9de7bc42bb18,2019-10-17,eagv,NULL,uuid:4d6de643-e0ab-406a-b6d7-9de7bc42bb18,paratrechinasp
PN166M2,p166,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-17T21:24:17Z,2019-10-17T21:24:17Z,uuid:6d132bf2-eaf8-4d94-8f82-cd3836858dbd,2019-10-17,eagv,NULL,uuid:6d132bf2-eaf8-4d94-8f82-cd3836858dbd,solenopsissp
PN166M3,p166,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-17T21:24:16Z,2019-10-17T21:24:16Z,uuid:f2a74eeb-8a5d-4a0e-b81a-ad8d77cbb23a,2019-10-17,eagv,NULL,uuid:f2a74eeb-8a5d-4a0e-b81a-ad8d77cbb23a,solenopsissp
PN166M4,p166,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-17T21:24:16Z,2019-10-17T21:24:16Z,uuid:0b1a3b4d-f431-4660-aac8-00a3ef2f9d9e,2019-10-17,eagv,NULL,uuid:0b1a3b4d-f431-4660-aac8-00a3ef2f9d9e,solenopsissp
PN167M1,p167,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-17T21:40:31Z,2019-10-17T21:40:31Z,uuid:f36de337-95c7-48a1-a8cb-68ef51c8a2ce,2019-10-17,eagv,NULL,uuid:f36de337-95c7-48a1-a8cb-68ef51c8a2ce,solenopsissp
PN167M2,p167,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-17T21:24:16Z,2019-10-17T21:24:16Z,uuid:2aeb4995-2934-487c-ba9d-c6cc5dee241b,2019-10-17,eagv,NULL,uuid:2aeb4995-2934-487c-ba9d-c6cc5dee241b,solenopsissp
PN167M3,p167,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-17T21:24:17Z,2019-10-17T21:24:17Z,uuid:b68b506b-7410-411e-9be8-d72ae804ff20,2019-10-17,eagv,NULL,uuid:b68b506b-7410-411e-9be8-d72ae804ff20,monomoriumsp
PN21M1,p21,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-02T16:29:38Z,2019-10-02T16:29:38Z,uuid:02692c86-9866-4380-bae8-5c7658934b57,2019-10-02,eagv,NULL,uuid:02692c86-9866-4380-bae8-5c7658934b57,solenopsissp
PN22M1,p22,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-02T16:29:37Z,2019-10-02T16:29:37Z,uuid:9ea67257-64e2-47af-9718-b41b5f4bcfdb,2019-10-02,eagv,NULL,uuid:9ea67257-64e2-47af-9718-b41b5f4bcfdb,monomoriumsp
PN22M2,p22,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-02T16:29:37Z,2019-10-02T16:29:37Z,uuid:a996f1a9-fe0b-423b-ba86-8f32dfac98d3,2019-10-02,eagv,NULL,uuid:a996f1a9-fe0b-423b-ba86-8f32dfac98d3,monomoriumsp
PN42M1,p42,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-02T15:21:16Z,2019-10-02T15:21:16Z,uuid:96b215fd-0a6f-4f96-9e18-8582205aca2a,2019-10-02,eagv,NULL,uuid:96b215fd-0a6f-4f96-9e18-8582205aca2a,"solenopsissp,monomoriumsp"
PN42M2,p42,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-02T16:29:37Z,2019-10-02T16:29:37Z,uuid:17227113-7725-4f02-bbd3-1e1aadf8f084,2019-10-02,eagv,NULL,uuid:17227113-7725-4f02-bbd3-1e1aadf8f084,solenopsissp
PN42M3,p42,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-02T14:55:52Z,2019-10-02T14:55:52Z,uuid:4389ecc0-2d00-429f-a094-75203825a38a,2019-10-02,eagv,NULL,uuid:4389ecc0-2d00-429f-a094-75203825a38a,solenopsissp
PN42M4,p42,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-02T16:29:37Z,2019-10-02T16:29:37Z,uuid:4809e5b2-999d-4f21-b74e-bbbdff0db35e,2019-10-02,eagv,NULL,uuid:4809e5b2-999d-4f21-b74e-bbbdff0db35e,paratrechinasp
PN77M1,p77,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-17T21:24:17Z,2019-10-17T21:24:17Z,uuid:b05010be-0ea9-4a1f-b939-82cd7651ed73,2019-10-17,eagv,NULL,uuid:b05010be-0ea9-4a1f-b939-82cd7651ed73,solenopsissp
PN86M1,p86,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-17T21:27:51Z,2019-10-17T21:27:51Z,uuid:46845763-85ed-4f0a-b963-4d8bb4515a64,2019-10-17,eagv,NULL,uuid:46845763-85ed-4f0a-b963-4d8bb4515a64,solenopsissp
