codigomuestra,parcela,usuarioident,fechacreacionident,fechaenvioident,idodkident,fechaidentificacion,identificadores,otrosidentificadores,idparentalidentificaciones,identificaciones
20190928k3,p143,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T15:07:41Z,2019-10-31T15:07:41Z,uuid:87945b65-c5ed-461c-9bdf-9377c01e1e06,2019-10-16,kmfg,NULL,uuid:87945b65-c5ed-461c-9bdf-9377c01e1e06,brachymyrmexsp
20191012k4,p66,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T14:56:16Z,2019-10-31T14:56:16Z,uuid:936c79d7-6164-4fd4-8076-db7cdf6dc3cb,2019-10-16,kmfg,NULL,uuid:936c79d7-6164-4fd4-8076-db7cdf6dc3cb,solenopsissp
20191012k4.1,p66,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T14:56:16Z,2019-10-31T14:56:16Z,uuid:22f23020-4745-47ee-84f5-b79ebe97fa15,2019-10-18,kmfg,NULL,uuid:22f23020-4745-47ee-84f5-b79ebe97fa15,solenopsissp
20191012k4.2,p66,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T14:56:16Z,2019-10-31T14:56:16Z,uuid:2c0b3cef-fb22-4b24-8b4d-12906cb75fdc,2019-10-18,kmfg,NULL,uuid:2c0b3cef-fb22-4b24-8b4d-12906cb75fdc,"dorymyrmexsp,dorymyrmexsp"
20191012k5,p179,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T15:02:44Z,2019-10-31T15:02:44Z,uuid:de761dc2-d945-4c75-8bcc-ec5be16d2571,2019-10-24,kmfg,NULL,uuid:de761dc2-d945-4c75-8bcc-ec5be16d2571,solenopsissp
20191012k5.1,p160,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T15:02:44Z,2019-10-31T15:02:44Z,uuid:454ae767-1a39-42c3-85fb-1d1a06adbc15,2019-10-18,kmfg,NULL,uuid:454ae767-1a39-42c3-85fb-1d1a06adbc15,"dorymyrmexsp,pheidolejamaicensis,pseudoponerasp,brachymyrmexsp,solenopsissp"
20191012k6,p168,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T15:08:39Z,2019-10-31T15:08:39Z,uuid:1e421bbd-c37e-43f8-9e72-60c341c81322,2019-10-24,kmfg,NULL,uuid:1e421bbd-c37e-43f8-9e72-60c341c81322,dorymyrmexsp
20191013k3,p143,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T15:07:41Z,2019-10-31T15:07:41Z,uuid:4119dfa0-e30d-4828-888b-f7ed187588dd,2019-10-16,kmfg,NULL,uuid:4119dfa0-e30d-4828-888b-f7ed187588dd,solenopsissp
20191013k7,p179,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T14:54:08Z,2019-10-31T14:54:08Z,uuid:d2315b6c-c3ed-442d-891c-912a76474545,2019-10-18,kmfg,NULL,uuid:d2315b6c-c3ed-442d-891c-912a76474545,dorymyrmexsp
20191013k7.1,p179,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T14:54:08Z,2019-10-31T14:54:08Z,uuid:3cf256c4-be3f-4e39-adce-f43d32f8d9fa,2019-10-18,kmfg,NULL,uuid:3cf256c4-be3f-4e39-adce-f43d32f8d9fa,"brachymyrmexsp,brachymyrmexsp"
