codigomuestra,parcela,usuarioident,fechacreacionident,fechaenvioident,idodkident,fechaidentificacion,identificadores,otrosidentificadores,idparentalidentificaciones,identificaciones
P70M1,p70,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-10-02 18:07:49.355,2019-10-02 18:07:49.351,uuid:512ed2f7-effc-4ea5-a914-1f28a75ccf2e,2019-10-02 00:00:00,dgb,NULL,uuid:512ed2f7-effc-4ea5-a914-1f28a75ccf2e,solenopsissp
PN42M3,p42,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-02 14:55:52.613,2019-10-02 14:55:52.607,uuid:4389ecc0-2d00-429f-a094-75203825a38a,2019-10-02 00:00:00,eagv,NULL,uuid:4389ecc0-2d00-429f-a094-75203825a38a,solenopsissp
20191410k11.2,p27,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31 14:51:14.1,2019-10-31 14:51:14.094,uuid:98cf39c6-ba65-4339-b9d2-14842d883fbf,2019-10-31 00:00:00,kmfg,NULL,uuid:98cf39c6-ba65-4339-b9d2-14842d883fbf,brachymyrmexsp
H20191013m8,p8,uid:mangoland|2019-08-27T17:32:44.139596Z,2019-11-01 02:33:55.809,2019-11-01 02:33:55.796,uuid:bc9ed3ac-c522-4907-a049-011e5e20b0b9,2019-10-15 00:00:00,"mlt,otra",Diyael Sosa,uuid:bc9ed3ac-c522-4907-a049-011e5e20b0b9,"paratrechinalongicornis,dorymyrmexantillana"
20191013M04,p24,uid:emdilone|2019-08-29T15:45:41.211906Z,2019-10-31 17:06:50.891,2019-10-31 17:06:50.879,uuid:8cd37d88-618e-4158-a8fc-f815d65aac47,2019-10-18 00:00:00,emdr,NULL,uuid:8cd37d88-618e-4158-a8fc-f815d65aac47,"paratrechinasp,dorymyrmexsp,pheidolesp,cardiocondylasp,brachymyrmexsp,tetramoriumsp"
20191012k4.2,p66,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31 14:56:16.647,2019-10-31 14:56:16.641,uuid:2c0b3cef-fb22-4b24-8b4d-12906cb75fdc,2019-10-18 00:00:00,kmfg,NULL,uuid:2c0b3cef-fb22-4b24-8b4d-12906cb75fdc,"dorymyrmexsp,dorymyrmexsp"
20191012k4.1,p66,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31 14:56:16.867,2019-10-31 14:56:16.862,uuid:22f23020-4745-47ee-84f5-b79ebe97fa15,2019-10-18 00:00:00,kmfg,NULL,uuid:22f23020-4745-47ee-84f5-b79ebe97fa15,solenopsissp
Pn166m2,p166,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-17 21:24:17.983,2019-10-17 21:24:17.977,uuid:6d132bf2-eaf8-4d94-8f82-cd3836858dbd,2019-10-17 00:00:00,eagv,NULL,uuid:6d132bf2-eaf8-4d94-8f82-cd3836858dbd,solenopsissp
20191014B10,p187,uid:bidelkiscastillo|2019-08-27T17:29:46.697501Z,2019-10-16 21:56:51.195,2019-10-16 21:56:51.189,uuid:fa052fb7-a738-46f6-8024-fe7965048321,2019-10-16 00:00:00,bacs,NULL,uuid:fa052fb7-a738-46f6-8024-fe7965048321,"paratrechinasp,dorymyrmexsp"
20191014k9.1,p78,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31 15:08:38.617,2019-10-31 15:08:38.613,uuid:f9cc1dd4-2fbc-4b08-829d-1452fd815c73,2019-10-18 00:00:00,kmfg,NULL,uuid:f9cc1dd4-2fbc-4b08-829d-1452fd815c73,cardiocondylasp
Pn167m3,p167,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-17 21:24:17.724,2019-10-17 21:24:17.715,uuid:b68b506b-7410-411e-9be8-d72ae804ff20,2019-10-17 00:00:00,eagv,NULL,uuid:b68b506b-7410-411e-9be8-d72ae804ff20,monomoriumsp
P25M3,p25,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-10-02 14:17:51.143,2019-10-02 14:17:51.137,uuid:cbc8e427-7d09-4928-b437-803131ef6673,2019-10-02 00:00:00,dgb,NULL,uuid:cbc8e427-7d09-4928-b437-803131ef6673,solenopsissp
20191410k10,p25,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31 15:08:39.475,2019-10-31 15:08:39.471,uuid:2476d78c-42dc-429b-9334-1f3d2c314c5b,2019-10-24 00:00:00,kmfg,NULL,uuid:2476d78c-42dc-429b-9334-1f3d2c314c5b,dorymyrmexsp
20191410k11.3,p27,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31 14:51:14.334,2019-10-31 14:51:14.328,uuid:d38d1de6-775a-4f34-a1bb-4f86f28fbe65,2019-10-31 00:00:00,kmfg,NULL,uuid:d38d1de6-775a-4f34-a1bb-4f86f28fbe65,brachymyrmexsp
P27M2,p27,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-10-02 14:17:52.447,2019-10-02 14:17:52.439,uuid:ee61b671-fd14-48d1-9843-3268edf24de8,2019-10-02 00:00:00,dgb,NULL,uuid:ee61b671-fd14-48d1-9843-3268edf24de8,solenopsissp
PN42M4,p42,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-02 16:29:37.848,2019-10-02 16:29:37.845,uuid:4809e5b2-999d-4f21-b74e-bbbdff0db35e,2019-10-02 00:00:00,eagv,NULL,uuid:4809e5b2-999d-4f21-b74e-bbbdff0db35e,paratrechinasp
20191013k8,p131,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31 15:08:39.023,2019-10-31 15:08:39.013,uuid:8325e6a1-5352-4da2-88f7-1514622db378,2019-10-24 00:00:00,kmfg,NULL,uuid:8325e6a1-5352-4da2-88f7-1514622db378,"monomoriumsp,brachymyrmexsp"
P27M2,p27,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-26 17:42:39.758,2019-09-26 17:42:39.754,uuid:a09b4476-29aa-45b7-bee6-d9bcd8bf2ab1,2019-09-26 00:00:00,"dgb,otra",El tali,uuid:a09b4476-29aa-45b7-bee6-d9bcd8bf2ab1,"pheidolesp,solenopsissp"
P25M2,p25,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-10-02 14:17:53.864,2019-10-02 14:17:53.854,uuid:62e236ac-9b2c-4244-8149-8c88077e72b3,2019-10-02 00:00:00,dgb,NULL,uuid:62e236ac-9b2c-4244-8149-8c88077e72b3,pheidolesp
20191013k7,p179,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31 14:54:08.813,2019-10-31 14:54:08.808,uuid:d2315b6c-c3ed-442d-891c-912a76474545,2019-10-18 00:00:00,kmfg,NULL,uuid:d2315b6c-c3ed-442d-891c-912a76474545,dorymyrmexsp
20191410k11.7,p27,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31 14:51:15.226,2019-10-31 14:51:15.218,uuid:28a318fb-93e1-4b20-9b9f-55c5f4e1453c,2019-10-31 00:00:00,kmfg,NULL,uuid:28a318fb-93e1-4b20-9b9f-55c5f4e1453c,brachymyrmexsp
Pn151m2,p155,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-17 21:24:18.494,2019-10-17 21:24:18.488,uuid:073ea94d-4812-485c-b346-842e80f1f106,2019-10-17 00:00:00,eagv,NULL,uuid:073ea94d-4812-485c-b346-842e80f1f106,paratrechinasp
PN21M1,p21,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-02 16:29:38.062,2019-10-02 16:29:38.057,uuid:02692c86-9866-4380-bae8-5c7658934b57,2019-10-02 00:00:00,eagv,NULL,uuid:02692c86-9866-4380-bae8-5c7658934b57,solenopsissp
H20191012m6,p28,uid:mangoland|2019-08-27T17:32:44.139596Z,2019-11-01 01:09:39.411,2019-11-01 01:09:39.404,uuid:6f164603-1113-460d-a850-75b5cf4284a0,2019-10-12 00:00:00,"mlt,otra",Diyael Sosa,uuid:6f164603-1113-460d-a850-75b5cf4284a0,"brachymyrmexsp,solenopsisgeminata,dorymyrmexantillana"
H20190914m1,p148,uid:mangoland|2019-08-27T17:32:44.139596Z,2019-11-01 01:09:37.795,2019-11-01 01:09:37.785,uuid:a69d441b-b97f-43cf-81b6-98bf15b72546,2019-09-14 00:00:00,"mlt,otra","Juda Martínez, Diyael Sosa",uuid:a69d441b-b97f-43cf-81b6-98bf15b72546,"dorymyrmexantillana,paratrechinalongicornis"
20191012B7,p39,uid:bidelkiscastillo|2019-08-27T17:29:46.697501Z,2019-10-16 21:56:50.457,2019-10-16 21:56:50.452,uuid:ae8af103-6943-4865-97d2-754edf99897b,2019-10-16 00:00:00,bacs,NULL,uuid:ae8af103-6943-4865-97d2-754edf99897b,dorymyrmexsp
P147M1,p8,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-10-02 14:17:56.375,2019-10-02 14:17:56.371,uuid:5ebecff3-7640-4105-b4d1-d42c5b9aa308,2019-10-02 00:00:00,dgb,NULL,uuid:5ebecff3-7640-4105-b4d1-d42c5b9aa308,pheidolesp
P1M2,p1,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-26 17:42:40.108,2019-09-26 17:42:40.094,uuid:85a9f5da-78f8-4823-ba71-240693f2613d,2019-09-26 00:00:00,"dgb,otra",El tali,uuid:85a9f5da-78f8-4823-ba71-240693f2613d,paratrechinasp
20191014B9,p78,uid:bidelkiscastillo|2019-08-27T17:29:46.697501Z,2019-10-16 21:56:50.938,2019-10-16 21:56:50.934,uuid:09ddaca1-4aa4-4f5a-a41b-71db57295ae0,2019-10-16 00:00:00,bacs,NULL,uuid:09ddaca1-4aa4-4f5a-a41b-71db57295ae0,dorymyrmexsp
20191012B5,p17,uid:bidelkiscastillo|2019-08-27T17:29:46.697501Z,2019-10-16 21:56:49.243,2019-10-16 21:56:49.235,uuid:d185eb2c-b9ae-43f4-a72d-c55ce20cb82f,2019-10-16 00:00:00,bacs,NULL,uuid:d185eb2c-b9ae-43f4-a72d-c55ce20cb82f,solenopsissp
H20191012m3,p86,uid:mangoland|2019-08-27T17:32:44.139596Z,2019-11-01 01:09:38.424,2019-11-01 01:09:38.42,uuid:76381b03-d0a6-4dca-a47d-d8ba71ab5d2a,2019-10-12 00:00:00,"mlt,otra",Diyael Sosa,uuid:76381b03-d0a6-4dca-a47d-d8ba71ab5d2a,"brachymyrmexsp,dorymyrmexantillana"
20191410k11.4,p27,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31 14:51:14.551,2019-10-31 14:51:14.544,uuid:6c3e5d6d-7396-45f6-899a-1bf7444e9711,2019-10-31 00:00:00,kmfg,NULL,uuid:6c3e5d6d-7396-45f6-899a-1bf7444e9711,dorymyrmexsp
m1,p148,uid:mangoland|2019-08-27T17:32:44.139596Z,2019-10-17 23:21:02.89,2019-10-17 23:21:02.884,uuid:41d72961-0112-466c-9122-c5bbbc62fee2,2019-10-16 00:00:00,"mlt,otra",Juda Martinez,uuid:41d72961-0112-466c-9122-c5bbbc62fee2,"dorymyrmexantillana,paratrechinalongicornis"
20191013k3,p143,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31 15:07:41.147,2019-10-31 15:07:41.136,uuid:4119dfa0-e30d-4828-888b-f7ed187588dd,2019-10-16 00:00:00,kmfg,NULL,uuid:4119dfa0-e30d-4828-888b-f7ed187588dd,solenopsissp
Pn166m1,p166,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-17 21:24:18.244,2019-10-17 21:24:18.232,uuid:4d6de643-e0ab-406a-b6d7-9de7bc42bb18,2019-10-17 00:00:00,eagv,NULL,uuid:4d6de643-e0ab-406a-b6d7-9de7bc42bb18,paratrechinasp
P10M3,p10,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-10-02 14:17:54.638,2019-10-02 14:17:54.634,uuid:5e76d094-8f22-4060-9825-c7bf3c3027a8,2019-10-02 00:00:00,dgb,NULL,uuid:5e76d094-8f22-4060-9825-c7bf3c3027a8,paratrechinasp
20191012k5,p179,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31 15:02:44.493,2019-10-31 15:02:44.483,uuid:de761dc2-d945-4c75-8bcc-ec5be16d2571,2019-10-24 00:00:00,kmfg,NULL,uuid:de761dc2-d945-4c75-8bcc-ec5be16d2571,solenopsissp
Pn151m1,p151,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-17 21:24:17.219,2019-10-17 21:24:17.213,uuid:7de5905f-bb29-4467-bdc2-a464d5ca04e2,2019-10-17 00:00:00,eagv,NULL,uuid:7de5905f-bb29-4467-bdc2-a464d5ca04e2,paratrechinasp
20191014M07,p97,uid:emdilone|2019-08-29T15:45:41.211906Z,2019-10-17 16:26:45.762,2019-10-17 16:26:45.747,uuid:75625987-c772-4c24-bd53-e7bdd23a6638,2019-10-14 00:00:00,emdr,NULL,uuid:75625987-c772-4c24-bd53-e7bdd23a6638,"pheidolesp,brachymyrmexsp,monomoriumsp"
